# Degradated methods (TTest P-Value)
27
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
io.netty.buffer.UnpooledHeapByteBuf.setByte(int,int);0.04556665552631331;0.9358471523019527;0.0;0.017796610169491526;3240;3540
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEcho();5.859623743052466E-23;1.5705228423079642E-4;6895.2;9085.3;10;10
io.netty.testsuite.transport.socket.SocketObjectEchoTest.testObjectEcho();5.077348401537194E-11;1.5705228423079642E-4;7634.6;8804.6;10;10
io.netty.channel.socket.oio.DefaultOioSocketChannelConfig.setTcpNoDelay(boolean);0.02535736380413875;0.8800147236809769;0.0;0.06610169491525424;660;1180
io.netty.testsuite.transport.socket.SocketFileRegionTest.testFileRegion();6.070429572916581E-7;1.5705228423079642E-4;7441.2;8695.5;10;10
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEchoWithAdditionalExecutor();5.020418813763769E-8;1.5705228423079642E-4;8629.8;10444.4;10;10
io.netty.testsuite.transport.socket.SocketStringEchoTest.testStringEcho();7.503889644588612E-11;1.5705228423079642E-4;7616.0;8885.7;10;10
io.netty.testsuite.transport.socket.SocketShutdownOutputByPeerTest.testShutdownOutput();3.765041878101718E-21;1.5705228423079642E-4;453.9;2513.1;10;10
io.netty.testsuite.transport.socket.SocketStartTlsTest.testStartTls();1.1444754782476318E-5;1.5705228423079642E-4;12145.8;14312.9;10;10
io.netty.testsuite.transport.socket.SocketFixedLengthEchoTest.testFixedLengthEcho();9.919435587684E-11;1.5705228423079642E-4;7564.3;8823.5;10;10
io.netty.testsuite.transport.socket.SocketFileRegionTest.testFileRegionVoidPromise();6.471264831264133E-18;1.5705228423079642E-4;6803.2;8934.1;10;10
io.netty.buffer.SlicedByteBuf.order();0.014330475463411112;0.9726930388626446;0.0;0.003081814053072082;15491;30826
io.netty.testsuite.transport.socket.SocketShutdownOutputByPeerTest.testShutdownOutputWithoutOption();1.8851438086610164E-35;1.5705228423079642E-4;1092.0;3119.9;10;10
io.netty.testsuite.transport.socket.SocketShutdownOutputByPeerTest.testShutdownOutput(io.netty.bootstrap.ServerBootstrap);1.47447571861126E-7;5.662680102602735E-9;113.475;627.9;40;40
io.netty.buffer.AbstractByteBuf.writeByte(int);0.014335903213554305;0.9039003427232438;0.0;0.026271186440677965;3240;3540
io.netty.testsuite.transport.socket.SocketSslEchoTest.testSslEcho(io.netty.bootstrap.ServerBootstrap,io.netty.bootstrap.Bootstrap);3.3733827310782793E-10;5.776222616661331E-4;891.909375;1224.315625;960;960
io.netty.testsuite.transport.socket.SocketShutdownOutputByPeerTest.testShutdownOutputWithoutOption(io.netty.bootstrap.ServerBootstrap);4.2690341795303176E-8;7.034778413128606E-7;192.25;699.3;40;40
io.netty.testsuite.transport.AbstractComboTestsuiteTest.run();7.669569856314855E-25;0.0;6490.115625;8269.534482758621;320;580
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEchoWithVoidPromise();8.535557960232486E-12;1.5705228423079642E-4;6552.0;8480.3;10;10
io.netty.testsuite.transport.socket.SocketBufReleaseTest.testBufRelease();1.331273266626608E-7;1.5705228423079642E-4;2244.9;5213.5;10;10
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEchoWithAdditionalExecutorAndVoidPromise();3.9131348212124746E-10;1.5705228423079642E-4;8405.2;10614.6;10;10
io.netty.testsuite.transport.socket.SocketBufReleaseTest.testBufRelease(io.netty.bootstrap.ServerBootstrap,io.netty.bootstrap.Bootstrap);2.7242395511199654E-4;5.863341754976936E-4;339.8666666666667;834.85;60;60
io.netty.testsuite.transport.socket.SocketSpdyEchoTest.testSpdyEcho(io.netty.bootstrap.ServerBootstrap,io.netty.bootstrap.Bootstrap);6.484350030732752E-7;4.068218068198348E-6;436.55;795.35;120;60
io.netty.channel.socket.DefaultSocketChannelConfig(io.netty.channel.socket.SocketChannel,java.net.Socket);0.0340015037999602;0.8533129208276182;0.024210526315789474;0.07283236994219654;1900;3460
io.netty.channel.DefaultChannelConfig(io.netty.channel.Channel);3.92692067414733E-6;0.6975581976182186;0.011298076923076923;0.07788461538461539;4160;7280
io.netty.testsuite.transport.socket.SocketSslEchoTest.testSslEcho();3.975304180180644E-51;0.0;5372.03125;7346.775;160;160
io.netty.testsuite.transport.socket.WriteBeforeRegisteredTest.testWriteBeforeConnect();0.017687217913827234;0.0113296966844747;533.4;544.4;10;10
0.0
0.05
